GameTime,PreyPopulation,PredatorPopulation,FPS,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
30.018381,5,5,53.21558,0,0,0,0
30.0375,5,5,52.305077,0,0,0,0
30.055563,5,5,55.363007,0,0,0,0
30.073162,5,5,56.819504,0,0,0,0
30.090712,5,5,56.979382,0,0,0,0
60.004681,5,5,51.195362,0,0,0,0
60.023487,5,5,53.174206,0,0,0,0
60.044102,5,5,48.50629,0,0,0,0
60.063473,5,5,51.625538,0,0,0,0
60.082211,5,5,53.371536,0,0,0,0
60.099812,5,5,56.810581,0,0,0,0
90.000786,10,8,36.723667,8,8,0,0
90.027847,10,8,36.954739,0,0,0,0
90.075996,10,8,20.768736,0,0,0,0
120.001167,10,8,20.69318,0,0,0,0
120.026093,10,8,40.11684,0,0,0,0
120.050529,10,8,40.920364,0,0,0,0
120.081085,10,8,32.723385,0,0,0,0
150.072113,20,11,12.216938,13,13,0,0
180.007797,20,12,18.791216,2,2,0,0
180.064911,20,12,17.51053,0,0,0,0
210.000046,39,13,4.149628,21,20,0,0
240.023254,38,14,4.087959,1,1,0,0
