GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
24.492908,11,3,0,0,0,1
50.500614,10,3,0,0,0,1
50.500614,10,3,0,0,0,1
50.500614,10,3,0,0,0,1
50.500614,10,3,0,0,0,1
56.002029,6,3,0,0,0,1
56.002029,6,3,0,0,0,1
60.636299,6,1,0,0,0,1
61.656643,6,1,1,0,0,0
61.656643,7,1,1,0,0,0
72.81514,8,1,1,0,0,0
75.353737,8,1,0,0,0,1
97.717873,8,1,1,0,0,0
100.263817,8,1,0,0,0,1
116.049843,7,1,0,0,0,1
117.001892,7,1,0,0,0,1
123.585716,7,0,1,0,0,0
124.611053,8,0,1,0,0,0
134.790726,9,0,1,0,0,0
160.679474,10,0,1,0,0,0
162.216492,11,0,1,0,0,0
186.531937,12,0,1,0,0,0
198.237213,13,0,1,0,0,0
199.26799,14,0,1,0,0,0
204.792648,14,0,0,0,0,1
210.867691,13,0,0,0,0,1
220.036148,12,0,0,0,0,1
222.063171,11,0,0,0,0,1
223.068893,11,0,1,0,0,0
249.880829,11,0,0,0,0,1
254.942154,11,0,1,0,0,0
260.008209,12,0,1,0,0,0
262.03598,13,0,1,0,0,0
263.04425,14,0,1,0,0,0
267.615112,14,0,0,0,0,1
273.189514,13,0,0,0,0,1
275.221344,13,0,1,0,0,0
284.368347,14,0,1,0,0,0
297.035736,15,0,1,0,0,0
