GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
36.117283,5,5,0,0,0,0
50.38657,4,5,0,0,0,0
51.003487,4,5,0,0,0,1
61.560753,4,4,1,0,0,0
64.091209,5,4,1,0,0,0
66.645485,6,4,1,0,0,0
72.001427,6,5,1,1,0,0
82.457542,6,5,0,0,0,0
94.023262,5,5,0,0,0,0
122.000336,4,6,1,1,0,0
125.997154,5,6,1,0,0,0
126.502396,5,6,0,0,0,0
128.014084,4,6,0,0,0,0
128.116394,5,6,1,0,0,0
134.126999,4,6,0,0,0,0
135.004837,4,7,1,1,0,0
136.246368,4,7,1,0,0,0
146.425842,4,7,0,0,0,0
149.003036,3,7,0,0,0,1
162.159241,3,6,0,0,0,0
175.002365,2,6,0,0,0,1
177.000168,2,5,0,0,0,1
180.346909,2,4,0,0,0,0
188.453979,1,4,0,0,0,0
211.004211,0,4,0,0,0,1
226.003998,0,3,0,0,0,1
231.00473,0,2,0,0,0,1
240.000183,0,1,0,0,0,1
