GameTime,PreyPopulation,PredatorPopulation,PreyGrowth,PredatorGrowth,PreyDeath,PredatorDeath
50.616535,7,11,0,0,0,1
50.616535,7,11,0,0,0,1
50.616535,7,11,0,0,0,1
51.000031,7,11,0,0,0,1
51.000031,7,10,0,0,0,1
51.000031,7,9,0,0,0,1
51.000031,7,8,0,0,0,1
51.000031,7,7,0,0,0,1
51.000031,7,6,0,0,0,1
64.984924,8,5,1,0,0,0
69.002441,8,6,1,1,0,0
84.002121,8,6,0,0,0,1
84.50425,9,5,1,0,0,0
86.001343,9,5,0,0,0,1
98.436714,9,4,0,0,0,1
101.002464,9,5,1,1,0,0
104.00444,9,6,1,1,0,0
111.341942,6,6,0,0,0,1
122.000763,6,6,0,0,0,1
134.879639,6,5,0,0,0,1
143.00119,6,5,0,0,0,1
143.12529,6,4,0,0,0,1
144.710236,7,4,1,0,0,0
153.001343,7,4,0,0,0,1
161.637421,7,3,1,0,0,0
168.290939,7,3,0,0,0,1
178.00293,6,4,1,1,0,0
178.00293,6,5,1,1,0,0
184.001099,6,6,1,1,0,0
198.230591,5,6,0,0,0,1
214.002853,4,6,0,0,0,1
219.418854,5,5,1,0,0,0
235.978027,4,5,0,0,0,1
258.326721,3,5,0,0,0,1
263.000031,3,5,0,0,0,1
263.000031,3,5,1,1,0,0
288.286682,3,5,0,0,0,1
